Year,Measure Type,Leading 10 Ranking,Measure,Group,Subgroup,Estimate Type,Estimate,Standard Error,Lower 95% CI,Upper 95% CI,Reliable
2016,By primary diagnosis,0,All diagnoses,By region,West,Visit count,36165000.0,4940000.0,26483000.0,45846000.0,Yes
2016,By primary diagnosis,0,All diagnoses,By metropolitan statistical area (MSA),MSA,Visit count,117189000.0,8454000.0,100620000.0,133758000.0,Yes
2016,By primary diagnosis,0,All diagnoses,By metropolitan statistical area (MSA),Non-MSA,Visit count,28402000.0,5057000.0,18491000.0,38313000.0,Yes
2016,By primary diagnosis,0,All diagnoses,By primary payment source,Private insurance,Visit count,36576000.0,2492000.0,31692000.0,41459000.0,Yes
2016,By primary diagnosis,0,All diagnoses,By primary payment source,Medicare,Visit count,25916000.0,1849000.0,22292000.0,29540000.0,Yes
2016,By primary diagnosis,0,All diagnoses,By primary payment source,Medicaid,Visit count,49426000.0,3531000.0,42506000.0,56345000.0,Yes
2016,By primary diagnosis,0,All diagnoses,By primary payment source,Uninsured,Visit count,12475000.0,1517000.0,9501000.0,15449000.0,Yes
2016,By primary diagnosis,0,All diagnoses,By primary payment source,Other,Visit count,4615000.0,675000.0,3292000.0,5938000.0,Yes
2016,By primary diagnosis,1,"1. Symptoms, signs, and abnormal clinical and laboratory findings",Total,All visits,Visit count,34028000.0,2207000.0,29702000.0,38354000.0,Yes
2016,By primary diagnosis,1,"1. Symptoms, signs, and abnormal clinical and laboratory findings",By sex,Female,Visit count,19851000.0,1291000.0,17321000.0,22381000.0,Yes
2016,By primary diagnosis,1,"1. Symptoms, signs, and abnormal clinical and laboratory findings",By sex,Male,Visit count,14177000.0,1005000.0,12207000.0,16146000.0,Yes
2016,By primary diagnosis,1,"1. Symptoms, signs, and abnormal clinical and laboratory findings",By age,0-17 years old,Visit count,6486000.0,691000.0,5131000.0,7841000.0,Yes
2016,By primary diagnosis,1,"1. Symptoms, signs, and abnormal clinical and laboratory findings",By age,18-44 years old,Visit count,12429000.0,861000.0,10742000.0,14117000.0,Yes
2016,By primary diagnosis,1,"1. Symptoms, signs, and abnormal clinical and laboratory findings",By age,45-64 years old,Visit count,8739000.0,609000.0,7545000.0,9934000.0,Yes
2016,By primary diagnosis,1,"1. Symptoms, signs, and abnormal clinical and laboratory findings",By age,65+ years old,Visit count,6373000.0,537000.0,5320000.0,7427000.0,Yes
2016,By primary diagnosis,1,"1. Symptoms, signs, and abnormal clinical and laboratory findings",By race/ethnicity,Non-Hispanic white,Visit count,21222000.0,1504000.0,18275000.0,24170000.0,Yes
2016,By primary diagnosis,1,"1. Symptoms, signs, and abnormal clinical and laboratory findings",By race/ethnicity,Non-Hispanic black,Visit count,6332000.0,634000.0,5090000.0,7574000.0,Yes
2016,By primary diagnosis,1,"1. Symptoms, signs, and abnormal clinical and laboratory findings",By race/ethnicity,Hispanic,Visit count,5393000.0,731000.0,3962000.0,6825000.0,Yes
2016,By primary diagnosis,1,"1. Symptoms, signs, and abnormal clinical and laboratory findings",By race/ethnicity,Non-Hispanic other,Visit count,1081000.0,154000.0,779000.0,1382000.0,Yes
2016,By primary diagnosis,1,"1. Symptoms, signs, and abnormal clinical and laboratory findings",By region,Northeast,Visit count,5715000.0,897000.0,3956000.0,7473000.0,Yes
2016,By primary diagnosis,1,"1. Symptoms, signs, and abnormal clinical and laboratory findings",By region,Midwest,Visit count,7231000.0,897000.0,5473000.0,8988000.0,Yes
2016,By primary diagnosis,1,"1. Symptoms, signs, and abnormal clinical and laboratory findings",By region,South,Visit count,11748000.0,1150000.0,9494000.0,14002000.0,Yes
2016,By primary diagnosis,1,"1. Symptoms, signs, and abnormal clinical and laboratory findings",By region,West,Visit count,9335000.0,1386000.0,6617000.0,12052000.0,Yes
2016,By primary diagnosis,1,"1. Symptoms, signs, and abnormal clinical and laboratory findings",By metropolitan statistical area (MSA),MSA,Visit count,27928000.0,2136000.0,23741000.0,32115000.0,Yes
2016,By primary diagnosis,1,"1. Symptoms, signs, and abnormal clinical and laboratory findings",By metropolitan statistical area (MSA),Non-MSA,Visit count,6100000.0,1104000.0,3937000.0,8264000.0,Yes
2016,By primary diagnosis,1,"1. Symptoms, signs, and abnormal clinical and laboratory findings",By primary payment source,Private insurance,Visit count,8823000.0,656000.0,7537000.0,10109000.0,Yes
2016,By primary diagnosis,1,"1. Symptoms, signs, and abnormal clinical and laboratory findings",By primary payment source,Medicare,Visit count,7276000.0,606000.0,6088000.0,8464000.0,Yes
2016,By primary diagnosis,1,"1. Symptoms, signs, and abnormal clinical and laboratory findings",By primary payment source,Medicaid,Visit count,11135000.0,872000.0,9425000.0,12845000.0,Yes
2016,By primary diagnosis,1,"1. Symptoms, signs, and abnormal clinical and laboratory findings",By primary payment source,Uninsured,Visit count,2407000.0,367000.0,1687000.0,3127000.0,Yes
2016,By primary diagnosis,1,"1. Symptoms, signs, and abnormal clinical and laboratory findings",By primary payment source,Other,Visit count,734000.0,151000.0,438000.0,1029000.0,Yes
2016,By primary diagnosis,2,2. Injury and poisoning,Total,All visits,Visit count,29888000.0,2063000.0,25845000.0,33931000.0,Yes
2016,By primary diagnosis,2,2. Injury and poisoning,By sex,Female,Visit count,14394000.0,1013000.0,12408000.0,16380000.0,Yes
2016,By primary diagnosis,2,2. Injury and poisoning,By sex,Male,Visit count,15494000.0,1149000.0,13242000.0,17747000.0,Yes
2016,By primary diagnosis,2,2. Injury and poisoning,By age,0-17 years old,Visit count,8447000.0,799000.0,6882000.0,10012000.0,Yes
2016,By primary diagnosis,2,2. Injury and poisoning,By age,18-44 years old,Visit count,11580000.0,912000.0,9792000.0,13367000.0,Yes
2016,By primary diagnosis,2,2. Injury and poisoning,By age,45-64 years old,Visit count,5981000.0,443000.0,5113000.0,6849000.0,Yes
2016,By primary diagnosis,2,2. Injury and poisoning,By age,65+ years old,Visit count,3880000.0,337000.0,3220000.0,4541000.0,Yes
2016,By primary diagnosis,2,2. Injury and poisoning,By race/ethnicity,Non-Hispanic white,Visit count,19545000.0,1437000.0,16728000.0,22361000.0,Yes
2016,By primary diagnosis,2,2. Injury and poisoning,By race/ethnicity,Non-Hispanic black,Visit count,5021000.0,588000.0,3868000.0,6174000.0,Yes
2016,By primary diagnosis,2,2. Injury and poisoning,By race/ethnicity,Hispanic,Visit count,4451000.0,516000.0,3440000.0,5462000.0,Yes
2016,By primary diagnosis,2,2. Injury and poisoning,By race/ethnicity,Non-Hispanic other,Visit count,871000.0,173000.0,533000.0,1210000.0,Yes
2016,By primary diagnosis,2,2. Injury and poisoning,By region,Northeast,Visit count,4729000.0,614000.0,3524000.0,5933000.0,Yes
2016,By primary diagnosis,2,2. Injury and poisoning,By region,Midwest,Visit count,6558000.0,880000.0,4833000.0,8283000.0,Yes
2016,By primary diagnosis,2,2. Injury and poisoning,By region,South,Visit count,11435000.0,1385000.0,8721000.0,14149000.0,Yes
2016,By primary diagnosis,2,2. Injury and poisoning,By region,West,Visit count,7167000.0,1094000.0,5024000.0,9311000.0,Yes
2016,By primary diagnosis,2,2. Injury and poisoning,By metropolitan statistical area (MSA),MSA,Visit count,23023000.0,1908000.0,19284000.0,26763000.0,Yes
2016,By primary diagnosis,2,2. Injury and poisoning,By metropolitan statistical area (MSA),Non-MSA,Visit count,6865000.0,1337000.0,4245000.0,9485000.0,Yes
2016,By primary diagnosis,2,2. Injury and poisoning,By primary payment source,Private insurance,Visit count,8611000.0,670000.0,7298000.0,9924000.0,Yes
2016,By primary diagnosis,2,2. Injury and poisoning,By primary payment source,Medicare,Visit count,4062000.0,345000.0,3386000.0,4737000.0,Yes
2016,By primary diagnosis,2,2. Injury and poisoning,By primary payment source,Medicaid,Visit count,9014000.0,719000.0,7605000.0,10423000.0,Yes
2016,By primary diagnosis,2,2. Injury and poisoning,By primary payment source,Uninsured,Visit count,2977000.0,386000.0,2221000.0,3733000.0,Yes
2016,By primary diagnosis,2,2. Injury and poisoning,By primary payment source,Other,Visit count,1643000.0,253000.0,1148000.0,2138000.0,Yes
2016,By primary diagnosis,3,3. Diseases of the respiratory system,Total,All visits,Visit count,14918000.0,1232000.0,12503000.0,17333000.0,Yes
2016,By primary diagnosis,3,3. Diseases of the respiratory system,By sex,Female,Visit count,8051000.0,714000.0,6652000.0,9450000.0,Yes
2016,By primary diagnosis,3,3. Diseases of the respiratory system,By sex,Male,Visit count,6866000.0,607000.0,5677000.0,8056000.0,Yes
2016,By primary diagnosis,3,3. Diseases of the respiratory system,By age,0-17 years old,Visit count,5903000.0,668000.0,4593000.0,7212000.0,Yes
2016,By primary diagnosis,3,3. Diseases of the respiratory system,By age,18-44 years old,Visit count,4442000.0,363000.0,3731000.0,5154000.0,Yes
2016,By primary diagnosis,3,3. Diseases of the respiratory system,By age,45-64 years old,Visit count,2670000.0,267000.0,2147000.0,3194000.0,Yes
2016,By primary diagnosis,3,3. Diseases of the respiratory system,By age,65+ years old,Visit count,1902000.0,232000.0,1447000.0,2357000.0,Yes
2016,By primary diagnosis,3,3. Diseases of the respiratory system,By race/ethnicity,Non-Hispanic white,Visit count,7739000.0,662000.0,6442000.0,9036000.0,Yes
2016,By primary diagnosis,3,3. Diseases of the respiratory system,By race/ethnicity,Non-Hispanic black,Visit count,4070000.0,478000.0,3133000.0,5006000.0,Yes
2016,By primary diagnosis,3,3. Diseases of the respiratory system,By race/ethnicity,Hispanic,Visit count,2727000.0,404000.0,1935000.0,3520000.0,Yes
2016,By primary diagnosis,3,3. Diseases of the respiratory system,By race/ethnicity,Non-Hispanic other,Visit count,382000.0,84000.0,217000.0,546000.0,Yes
2016,By primary diagnosis,3,3. Diseases of the respiratory system,By region,Northeast,Visit count,2043000.0,325000.0,1406000.0,2680000.0,Yes
2016,By primary diagnosis,3,3. Diseases of the respiratory system,By region,Midwest,Visit count,3627000.0,668000.0,2318000.0,4936000.0,Yes
2016,By primary diagnosis,3,3. Diseases of the respiratory system,By region,South,Visit count,5966000.0,763000.0,4472000.0,7461000.0,Yes
2016,By primary diagnosis,3,3. Diseases of the respiratory system,By region,West,Visit count,3282000.0,620000.0,2067000.0,4497000.0,Yes
2016,By primary diagnosis,3,3. Diseases of the respiratory system,By metropolitan statistical area (MSA),MSA,Visit count,11371000.0,1056000.0,9300000.0,13441000.0,Yes
2016,By primary diagnosis,3,3. Diseases of the respiratory system,By metropolitan statistical area (MSA),Non-MSA,Visit count,3547000.0,791000.0,1996000.0,5098000.0,Yes
2016,By primary diagnosis,3,3. Diseases of the respiratory system,By primary payment source,Private insurance,Visit count,3111000.0,347000.0,2429000.0,3792000.0,Yes
2016,By primary diagnosis,3,3. Diseases of the respiratory system,By primary payment source,Medicare,Visit count,2187000.0,251000.0,1695000.0,2680000.0,Yes
2016,By primary diagnosis,3,3. Diseases of the respiratory system,By primary payment source,Medicaid,Visit count,6338000.0,640000.0,5084000.0,7592000.0,Yes
2016,By primary diagnosis,3,3. Diseases of the respiratory system,By primary payment source,Uninsured,Visit count,1114000.0,175000.0,771000.0,1456000.0,Yes
2016,By primary diagnosis,4,4. Diseases of the musculoskeletal system and connective tissue,Total,All visits,Visit count,10756000.0,762000.0,9262000.0,12249000.0,Yes
2016,By primary diagnosis,4,4. Diseases of the musculoskeletal system and connective tissue,By sex,Female,Visit count,5744000.0,507000.0,4751000.0,6738000.0,Yes
2016,By primary diagnosis,4,4. Diseases of the musculoskeletal system and connective tissue,By sex,Male,Visit count,5011000.0,352000.0,4322000.0,5701000.0,Yes
2016,By primary diagnosis,4,4. Diseases of the musculoskeletal system and connective tissue,By age,0-17 years old,Visit count,847000.0,126000.0,599000.0,1095000.0,Yes
2016,By primary diagnosis,4,4. Diseases of the musculoskeletal system and connective tissue,By age,18-44 years old,Visit count,4305000.0,355000.0,3610000.0,5001000.0,Yes
2016,By primary diagnosis,4,4. Diseases of the musculoskeletal system and connective tissue,By age,45-64 years old,Visit count,3838000.0,343000.0,3166000.0,4511000.0,Yes
2016,By primary diagnosis,4,4. Diseases of the musculoskeletal system and connective tissue,By age,65+ years old,Visit count,1765000.0,158000.0,1455000.0,2076000.0,Yes
2016,By primary diagnosis,4,4. Diseases of the musculoskeletal system and connective tissue,By race/ethnicity,Non-Hispanic white,Visit count,6266000.0,485000.0,5315000.0,7217000.0,Yes
2016,By primary diagnosis,4,4. Diseases of the musculoskeletal system and connective tissue,By race/ethnicity,Non-Hispanic black,Visit count,2535000.0,329000.0,1891000.0,3178000.0,Yes
2016,By primary diagnosis,4,4. Diseases of the musculoskeletal system and connective tissue,By race/ethnicity,Hispanic,Visit count,1582000.0,240000.0,1112000.0,2053000.0,Yes
2016,By primary diagnosis,4,4. Diseases of the musculoskeletal system and connective tissue,By race/ethnicity,Non-Hispanic other,Visit count,372000.0,67000.0,242000.0,503000.0,Yes
2016,By primary diagnosis,4,4. Diseases of the musculoskeletal system and connective tissue,By region,Northeast,Visit count,1702000.0,237000.0,1238000.0,2165000.0,Yes
2016,By primary diagnosis,4,4. Diseases of the musculoskeletal system and connective tissue,By region,Midwest,Visit count,2110000.0,263000.0,1594000.0,2627000.0,Yes
2016,By primary diagnosis,4,4. Diseases of the musculoskeletal system and connective tissue,By region,South,Visit count,4199000.0,488000.0,3242000.0,5156000.0,Yes
2016,By primary diagnosis,4,4. Diseases of the musculoskeletal system and connective tissue,By region,West,Visit count,2744000.0,465000.0,1833000.0,3655000.0,Yes
2016,By primary diagnosis,4,4. Diseases of the musculoskeletal system and connective tissue,By metropolitan statistical area (MSA),MSA,Visit count,8923000.0,776000.0,7403000.0,10444000.0,Yes
2016,By primary diagnosis,4,4. Diseases of the musculoskeletal system and connective tissue,By metropolitan statistical area (MSA),Non-MSA,Visit count,1832000.0,344000.0,1159000.0,2506000.0,Yes
2016,By primary diagnosis,4,4. Diseases of the musculoskeletal system and connective tissue,By primary payment source,Private insurance,Visit count,3122000.0,311000.0,2513000.0,3731000.0,Yes
2016,By primary diagnosis,4,4. Diseases of the musculoskeletal system and connective tissue,By primary payment source,Medicare,Visit count,2103000.0,190000.0,1730000.0,2475000.0,Yes
2016,By primary diagnosis,4,4. Diseases of the musculoskeletal system and connective tissue,By primary payment source,Medicaid,Visit count,3213000.0,352000.0,2523000.0,3902000.0,Yes
2016,By primary diagnosis,4,4. Diseases of the musculoskeletal system and connective tissue,By primary payment source,Uninsured,Visit count,1040000.0,199000.0,650000.0,1430000.0,Yes
2016,By primary diagnosis,4,4. Diseases of the musculoskeletal system and connective tissue,By primary payment source,Other,Visit count,425000.0,96000.0,237000.0,614000.0,Yes
2016,By primary diagnosis,5,5. Diseases of the digestive system,Total,All visits,Visit count,7968000.0,538000.0,6913000.0,9023000.0,Yes
2016,By primary diagnosis,5,5. Diseases of the digestive system,By sex,Female,Visit count,4136000.0,330000.0,3489000.0,4783000.0,Yes
2016,By primary diagnosis,5,5. Diseases of the digestive system,By sex,Male,Visit count,3832000.0,305000.0,3235000.0,4430000.0,Yes
2016,By primary diagnosis,5,5. Diseases of the digestive system,By age,0-17 years old,Visit count,1196000.0,159000.0,884000.0,1508000.0,Yes
2016,By primary diagnosis,5,5. Diseases of the digestive system,By age,18-44 years old,Visit count,3224000.0,259000.0,2716000.0,3732000.0,Yes
2016,By primary diagnosis,5,5. Diseases of the digestive system,By age,45-64 years old,Visit count,2233000.0,230000.0,1783000.0,2683000.0,Yes
2016,By primary diagnosis,5,5. Diseases of the digestive system,By age,65+ years old,Visit count,1315000.0,158000.0,1005000.0,1625000.0,Yes
2016,By primary diagnosis,5,5. Diseases of the digestive system,By race/ethnicity,Non-Hispanic white,Visit count,4847000.0,378000.0,4106000.0,5588000.0,Yes
2016,By primary diagnosis,5,5. Diseases of the digestive system,By race/ethnicity,Non-Hispanic black,Visit count,1421000.0,195000.0,1039000.0,1802000.0,Yes
2016,By primary diagnosis,5,5. Diseases of the digestive system,By race/ethnicity,Hispanic,Visit count,1366000.0,179000.0,1016000.0,1716000.0,Yes
2016,By primary diagnosis,5,5. Diseases of the digestive system,By race/ethnicity,Non-Hispanic other,Visit count,335000.0,76000.0,185000.0,484000.0,Yes
2016,By primary diagnosis,5,5. Diseases of the digestive system,By region,Northeast,Visit count,1402000.0,207000.0,996000.0,1807000.0,Yes
2016,By primary diagnosis,5,5. Diseases of the digestive system,By region,Midwest,Visit count,1669000.0,194000.0,1288000.0,2049000.0,Yes
2016,By primary diagnosis,5,5. Diseases of the digestive system,By region,South,Visit count,2852000.0,370000.0,2126000.0,3577000.0,Yes
2016,By primary diagnosis,5,5. Diseases of the digestive system,By region,West,Visit count,2046000.0,269000.0,1519000.0,2573000.0,Yes
2016,By primary diagnosis,5,5. Diseases of the digestive system,By metropolitan statistical area (MSA),MSA,Visit count,6547000.0,526000.0,5516000.0,7577000.0,Yes
2016,By primary diagnosis,5,5. Diseases of the digestive system,By metropolitan statistical area (MSA),Non-MSA,Visit count,1422000.0,278000.0,877000.0,1966000.0,Yes
2016,By primary diagnosis,5,5. Diseases of the digestive system,By primary payment source,Private insurance,Visit count,1882000.0,168000.0,1553000.0,2212000.0,Yes
2016,By primary diagnosis,5,5. Diseases of the digestive system,By primary payment source,Medicare,Visit count,1518000.0,164000.0,1197000.0,1839000.0,Yes
2016,By primary diagnosis,5,5. Diseases of the digestive system,By primary payment source,Medicaid,Visit count,2830000.0,285000.0,2272000.0,3389000.0,Yes
2016,By primary diagnosis,5,5. Diseases of the digestive system,By primary payment source,Uninsured,Visit count,879000.0,145000.0,594000.0,1164000.0,Yes
2016,By primary diagnosis,6,6. Diseases of the genitourinary system,Total,All visits,Visit count,8192000.0,668000.0,6882000.0,9502000.0,Yes
2016,By primary diagnosis,6,6. Diseases of the genitourinary system,By sex,Female,Visit count,5792000.0,468000.0,4875000.0,6709000.0,Yes
2016,By primary diagnosis,6,6. Diseases of the genitourinary system,By sex,Male,Visit count,2401000.0,251000.0,1909000.0,2893000.0,Yes
2016,By primary diagnosis,6,6. Diseases of the genitourinary system,By age,0-17 years old,Visit count,903000.0,172000.0,567000.0,1240000.0,Yes
2016,By primary diagnosis,6,6. Diseases of the genitourinary system,By age,18-44 years old,Visit count,3943000.0,340000.0,3276000.0,4609000.0,Yes
2016,By primary diagnosis,6,6. Diseases of the genitourinary system,By age,45-64 years old,Visit count,1827000.0,204000.0,1427000.0,2227000.0,Yes
2016,By primary diagnosis,6,6. Diseases of the genitourinary system,By age,65+ years old,Visit count,1519000.0,209000.0,1111000.0,1928000.0,Yes
2016,By primary diagnosis,6,6. Diseases of the genitourinary system,By race/ethnicity,Non-Hispanic white,Visit count,5058000.0,489000.0,4100000.0,6015000.0,Yes
2016,By primary diagnosis,6,6. Diseases of the genitourinary system,By race/ethnicity,Non-Hispanic black,Visit count,1691000.0,240000.0,1221000.0,2162000.0,Yes
2016,By primary diagnosis,6,6. Diseases of the genitourinary system,By race/ethnicity,Hispanic,Visit count,1229000.0,192000.0,853000.0,1605000.0,Yes
2016,By primary diagnosis,6,6. Diseases of the genitourinary system,By race/ethnicity,Non-Hispanic other,Visit count,215000.0,51000.0,115000.0,314000.0,Yes
2016,By primary diagnosis,6,6. Diseases of the genitourinary system,By region,Northeast,Visit count,1285000.0,276000.0,743000.0,1827000.0,Yes
2016,By primary diagnosis,6,6. Diseases of the genitourinary system,By region,Midwest,Visit count,1515000.0,208000.0,1108000.0,1922000.0,Yes
2016,By primary diagnosis,6,6. Diseases of the genitourinary system,By region,South,Visit count,3285000.0,437000.0,2429000.0,4140000.0,Yes
2016,By primary diagnosis,6,6. Diseases of the genitourinary system,By region,West,Visit count,2108000.0,368000.0,1387000.0,2829000.0,Yes
2016,By primary diagnosis,6,6. Diseases of the genitourinary system,By metropolitan statistical area (MSA),MSA,Visit count,6904000.0,646000.0,5638000.0,8170000.0,Yes
2016,By primary diagnosis,6,6. Diseases of the genitourinary system,By metropolitan statistical area (MSA),Non-MSA,Visit count,1288000.0,278000.0,744000.0,1832000.0,Yes
2016,By primary diagnosis,6,6. Diseases of the genitourinary system,By primary payment source,Private insurance,Visit count,2252000.0,224000.0,1813000.0,2692000.0,Yes
2016,By primary diagnosis,6,6. Diseases of the genitourinary system,By primary payment source,Medicare,Visit count,1504000.0,191000.0,1130000.0,1877000.0,Yes
2016,By primary diagnosis,6,6. Diseases of the genitourinary system,By primary payment source,Medicaid,Visit count,2715000.0,285000.0,2157000.0,3273000.0,Yes
2016,By primary diagnosis,6,6. Diseases of the genitourinary system,By primary payment source,Uninsured,Visit count,768000.0,144000.0,487000.0,1050000.0,Yes
2016,By primary diagnosis,7,"7. Mental, behavioral, and neurodevelopmental disorders",Total,All visits,Visit count,5485000.0,472000.0,4561000.0,6409000.0,Yes
2016,By primary diagnosis,7,"7. Mental, behavioral, and neurodevelopmental disorders",By sex,Female,Visit count,2407000.0,258000.0,1901000.0,2912000.0,Yes
2016,By primary diagnosis,7,"7. Mental, behavioral, and neurodevelopmental disorders",By sex,Male,Visit count,3079000.0,292000.0,2506000.0,3651000.0,Yes
2016,By primary diagnosis,7,"7. Mental, behavioral, and neurodevelopmental disorders",By age,0-17 years old,Visit count,587000.0,94000.0,402000.0,771000.0,Yes
2016,By primary diagnosis,7,"7. Mental, behavioral, and neurodevelopmental disorders",By age,18-44 years old,Visit count,2725000.0,257000.0,2220000.0,3229000.0,Yes
2016,By primary diagnosis,7,"7. Mental, behavioral, and neurodevelopmental disorders",By age,45-64 years old,Visit count,1798000.0,232000.0,1342000.0,2254000.0,Yes
2016,By primary diagnosis,7,"7. Mental, behavioral, and neurodevelopmental disorders",By age,65+ years old,Visit count,376000.0,73000.0,232000.0,520000.0,Yes
2016,By primary diagnosis,7,"7. Mental, behavioral, and neurodevelopmental disorders",By race/ethnicity,Non-Hispanic white,Visit count,3332000.0,318000.0,2709000.0,3956000.0,Yes
2016,By primary diagnosis,7,"7. Mental, behavioral, and neurodevelopmental disorders",By race/ethnicity,Non-Hispanic black,Visit count,1180000.0,163000.0,861000.0,1500000.0,Yes
2016,By primary diagnosis,7,"7. Mental, behavioral, and neurodevelopmental disorders",By race/ethnicity,Hispanic,Visit count,687000.0,113000.0,465000.0,908000.0,Yes
2016,By primary diagnosis,7,"7. Mental, behavioral, and neurodevelopmental disorders",By race/ethnicity,Non-Hispanic other,Visit count,286000.0,70000.0,150000.0,422000.0,Yes
2016,By primary diagnosis,7,"7. Mental, behavioral, and neurodevelopmental disorders",By region,Northeast,Visit count,1517000.0,267000.0,993000.0,2041000.0,Yes
2016,By primary diagnosis,7,"7. Mental, behavioral, and neurodevelopmental disorders",By region,Midwest,Visit count,1073000.0,211000.0,660000.0,1487000.0,Yes
2016,By primary diagnosis,7,"7. Mental, behavioral, and neurodevelopmental disorders",By region,South,Visit count,1498000.0,226000.0,1056000.0,1940000.0,Yes
2016,By primary diagnosis,7,"7. Mental, behavioral, and neurodevelopmental disorders",By region,West,Visit count,1397000.0,235000.0,935000.0,1858000.0,Yes
2016,By primary diagnosis,7,"7. Mental, behavioral, and neurodevelopmental disorders",By metropolitan statistical area (MSA),MSA,Visit count,4800000.0,463000.0,3892000.0,5708000.0,Yes
2016,By primary diagnosis,7,"7. Mental, behavioral, and neurodevelopmental disorders",By metropolitan statistical area (MSA),Non-MSA,Visit count,685000.0,147000.0,396000.0,974000.0,Yes
2016,By primary diagnosis,7,"7. Mental, behavioral, and neurodevelopmental disorders",By primary payment source,Private insurance,Visit count,1118000.0,154000.0,816000.0,1419000.0,Yes
2016,By primary diagnosis,7,"7. Mental, behavioral, and neurodevelopmental disorders",By primary payment source,Medicare,Visit count,695000.0,100000.0,498000.0,891000.0,Yes
2016,By primary diagnosis,7,"7. Mental, behavioral, and neurodevelopmental disorders",By primary payment source,Medicaid,Visit count,2196000.0,290000.0,1628000.0,2764000.0,Yes
2016,By primary diagnosis,7,"7. Mental, behavioral, and neurodevelopmental disorders",By primary payment source,Uninsured,Visit count,610000.0,103000.0,408000.0,812000.0,Yes
2016,By primary diagnosis,8,8. Diseases of the circulatory system,Total,All visits,Visit count,4774000.0,461000.0,3871000.0,5677000.0,Yes
2016,By primary diagnosis,8,8. Diseases of the circulatory system,By sex,Female,Visit count,2395000.0,281000.0,1844000.0,2947000.0,Yes
2016,By primary diagnosis,8,8. Diseases of the circulatory system,By sex,Male,Visit count,2379000.0,254000.0,1880000.0,2877000.0,Yes
2016,By primary diagnosis,8,8. Diseases of the circulatory system,By age,18-44 years old,Visit count,544000.0,85000.0,378000.0,710000.0,Yes
2016,By primary diagnosis,8,8. Diseases of the circulatory system,By age,45-64 years old,Visit count,1610000.0,168000.0,1281000.0,1940000.0,Yes
2016,By primary diagnosis,8,8. Diseases of the circulatory system,By age,65+ years old,Visit count,2497000.0,311000.0,1888000.0,3107000.0,Yes
2016,By primary diagnosis,8,8. Diseases of the circulatory system,By race/ethnicity,Non-Hispanic white,Visit count,3304000.0,399000.0,2521000.0,4086000.0,Yes
2016,By primary diagnosis,8,8. Diseases of the circulatory system,By race/ethnicity,Non-Hispanic black,Visit count,895000.0,164000.0,575000.0,1216000.0,Yes
2016,By primary diagnosis,8,8. Diseases of the circulatory system,By race/ethnicity,Hispanic,Visit count,440000.0,94000.0,255000.0,625000.0,Yes
2016,By primary diagnosis,8,8. Diseases of the circulatory system,By region,Northeast,Visit count,925000.0,179000.0,574000.0,1276000.0,Yes
2016,By primary diagnosis,8,8. Diseases of the circulatory system,By region,Midwest,Visit count,1246000.0,299000.0,660000.0,1831000.0,Yes
2016,By primary diagnosis,8,8. Diseases of the circulatory system,By region,South,Visit count,1594000.0,238000.0,1127000.0,2060000.0,Yes
2016,By primary diagnosis,8,8. Diseases of the circulatory system,By region,West,Visit count,1009000.0,186000.0,645000.0,1373000.0,Yes
2016,By primary diagnosis,8,8. Diseases of the circulatory system,By metropolitan statistical area (MSA),MSA,Visit count,3660000.0,330000.0,3013000.0,4307000.0,Yes
